binary,n_clusters,n_points,total_time,total_kernel_exec_time,total_kernel_launch_time,avg_kernel_exec_time,avg_kernel_launch_time,iterations,memcpy_host_to_device_time,memcpy_device_to_host_time,cost
08_pam_small_block,10,1000,5040.8701,3038.5191999999997,245.5047,276.22902,22.318599999999996,11.0,5.2158,5.2158,582.4921826727032
08_pam_small_block,10,10000,187044.2991,170890.4493,386.5833,12206.46067,27.613080000000004,14.0,15.2607,15.2607,6168.396534431315
09_pam_end_early,3,100,707.6049,54.7678,207.4523,13.691970000000001,51.863099999999996,4.0,2.0728999999999997,2.0728999999999997,60.177206216057655
09_pam_end_early,3,1000,1139.0916000000002,394.59900000000005,195.8642,131.533,65.28805,3.0,2.0512,2.0512,587.032156967523
09_pam_end_early,3,10000,6462.9717,4534.8735,210.2717,1511.6245199999998,70.09058,3.0,10.2625,10.2625,6289.943603198582
09_pam_end_early,3,100000,547318.8273,528895.2064,263.5956,132223.80161999998,65.89892,4.0,69.1193,69.1193,62455.65615448237
09_pam_end_early,5,100,685.0427,60.21759999999999,191.6776,20.07253,63.89253,3.0,1.7568000000000001,1.7568000000000001,61.23714689749164
09_pam_end_early,5,1000,1678.3830000000003,769.8480999999999,202.7576,192.46205,50.68942,4.0,2.3388999999999998,2.3388999999999998,602.7677413977682
09_pam_end_early,5,10000,23770.7319,19906.2644,228.15300000000002,3981.25288,45.6306,5.0,10.7806,10.7806,6236.058923647739
09_pam_end_early,5,100000,2219158.8987999996,2180227.95,334.2278,363371.325,55.70464,6.0,70.1858,70.1858,63605.11740662674
09_pam_end_early,10,100,898.9494000000001,156.6841,202.7395,26.11401,33.78992,6.0,2.8059000000000003,2.8059000000000003,61.101245154834615
09_pam_end_early,10,1000,3445.6019,1933.4243999999999,217.2098,276.20348,31.02996,7.0,3.4945999999999997,3.4945999999999997,605.502507674582
09_pam_end_early,10,10000,117505.9688,106417.11129999999,318.4624,11824.12348,35.38472,9.0,12.2751,12.2751,6211.896692522147
09_pam_end_early,10,100000,14267423.880700001,14144108.7917,531.73,1285828.07197,48.33911,11.0,71.7727,71.7727,64185.524432176644
medoids.py,3,100,2452.6081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.165179355656036
medoids.py,3,1000,39803.7821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.3629751602766
medoids.py,3,10000,4490608.5652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6192.812590324399
medoids.py,5,100,2569.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.69738351184343
medoids.py,5,1000,51782.3692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.7469141779991
medoids.py,5,10000,2675442.0127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6177.662173632307
medoids.py,10,100,2779.9632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.5010605613459
medoids.py,10,1000,38741.527799999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.7996841445589
medoids.py,10,10000,3528077.0056000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10305.919159873582
