6
Stride: 768
nSharedFloats: 40 (= cWarpsPerBlock * 10)
Index: 320, (offset: 0, tid: 320, logStep: 0)
Index: 321, (offset: 0, tid: 321, logStep: 0)
Index: 322, (offset: 0, tid: 322, logStep: 0)
Index: 323, (offset: 0, tid: 323, logStep: 0)
Index: 324, (offset: 0, tid: 324, logStep: 0)
Index: 325, (offset: 0, tid: 325, logStep: 0)
Index: 326, (offset: 0, tid: 326, logStep: 0)
Index: 327, (offset: 0, tid: 327, logStep: 0)
Index: 328, (offset: 0, tid: 328, logStep: 0)
Index: 329, (offset: 0, tid: 329, logStep: 0)
Index: 330, (offset: 0, tid: 330, logStep: 0)
Index: 331, (offset: 0, tid: 331, logStep: 0)
Index: 332, (offset: 0, tid: 332, logStep: 0)
Index: 333, (offset: 0, tid: 333, logStep: 0)
Index: 334, (offset: 0, tid: 334, logStep: 0)
Index: 335, (offset: 0, tid: 335, logStep: 0)
Index: 336, (offset: 0, tid: 336, logStep: 0)
Index: 337, (offset: 0, tid: 337, logStep: 0)
Index: 338, (offset: 0, tid: 338, logStep: 0)
Index: 339, (offset: 0, tid: 339, logStep: 0)
Index: 340, (offset: 0, tid: 340, logStep: 0)
Index: 341, (offset: 0, tid: 341, logStep: 0)
Index: 342, (offset: 0, tid: 342, logStep: 0)
Index: 343, (offset: 0, tid: 343, logStep: 0)
Index: 344, (offset: 0, tid: 344, logStep: 0)
Index: 345, (offset: 0, tid: 345, logStep: 0)
Index: 346, (offset: 0, tid: 346, logStep: 0)
Index: 347, (offset: 0, tid: 347, logStep: 0)
Index: 348, (offset: 0, tid: 348, logStep: 0)
Index: 349, (offset: 0, tid: 349, logStep: 0)
Index: 350, (offset: 0, tid: 350, logStep: 0)
Index: 351, (offset: 0, tid: 351, logStep: 0)
Index: 288, (offset: 0, tid: 288, logStep: 0)
Index: 289, (offset: 0, tid: 289, logStep: 0)
Index: 290, (offset: 0, tid: 290, logStep: 0)
Index: 291, (offset: 0, tid: 291, logStep: 0)
Index: 292, (offset: 0, tid: 292, logStep: 0)
Index: 293, (offset: 0, tid: 293, logStep: 0)
Index: 294, (offset: 0, tid: 294, logStep: 0)
Index: 295, (offset: 0, tid: 295, logStep: 0)
Index: 296, (offset: 0, tid: 296, logStep: 0)
Index: 297, (offset: 0, tid: 297, logStep: 0)
Index: 298, (offset: 0, tid: 298, logStep: 0)
